"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Hierarchical Multi Robot Coverage Strategy for Large Maps With Reinforcement Learning and Dense Segmented Siamese Network","Y. Huang; Y. Wang; Z. Li; H. Zhang; C. Zhang","State Key Laboratory of Precision Space-time Information Sensing Technology, Tsinghua University, Beijing, China; State Key Laboratory of Precision Space-time Information Sensing Technology, Tsinghua University, Beijing, China; National Key Laboratory of Electromagnetic Space Security, Chengdu, China; State Key Laboratory of Precision Space-time Information Sensing Technology, Tsinghua University, Beijing, China; Tsinghua University, Beijing, China",IEEE Robotics and Automation Letters,"9 Dec 2024","2025","10","1","444","451","Complete coverage of multiple robots for a large map is an important collaborative planning task, which is widely used in disaster search and rescue, forest fire prevention, resource exploration, and other fields. It generally focuses on coverage completion with less robot (mostly drone) occupation and higher time efficiency. However, as the map becomes larger, most existing works will fail to remain near-optimal due to escalating complexity. In this letter, we formulate the problem as two levels of traveling salesman problem (TSP) to reduce the complexity, where the lower level is single-robot local coverage planning with preset TSP solutions, and the higher level is multiple TSP (mTSP) global planning executed by multiple robots. To better adapt to dynamic scenarios, we apply a distributed multi-agent reinforcement learning (MARL) framework that allows efficient online computation, and a dense segmented Siamese network (DSSN) to achieve efficient and effective solutions. We show that compared to existing advanced methods, our strategy can effectively solve the problem with coverage costs decreased by over 30$\%$ average and the execution time reduced to seconds in large maps. Furthermore, our network DSSN achieves an additional improvement with random settings to the previous mTSP architecture. We also discuss the influence of different robot densities and separated block sizes on the results, and demonstrate the adaptability to irregular and large-scale obstacles.","2377-3766","","10.1109/LRA.2024.3502067","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10758196","Path planning for multiple mobile robots or agents;reinforcement learning;planning;scheduling and coordination;complete coverage;large maps","Robots;Robot kinematics;Planning;Costs;Reinforcement learning;Trajectory;Robot sensing systems;Training;Partitioning algorithms;Disasters","","6","","31","IEEE","19 Nov 2024","Jan. 2025","","IEEE","IEEE Journals"
"Particle swarm optimization-based method of source seeking by small robotic groups in the presence of noises and communication constraints","N. Makarov; A. Matveev; S. Gusev","Mathematical Robotics Science Division, Sirius University, Russia; Mathematical Robotics Science Division, Sirius University, Russia; Mathematical Robotics Science Division, Sirius University, Russia",2024 9th International Conference on Robotics and Automation Engineering (ICRAE),"28 Jan 2025","2024","","","143","148","The paper deals with the problem of cooperatively finding a source of an unknown environmental field by a relatively small group of robots whose communication range is finite. To solve this problem, a distributed control law is proposed, which is based on the ideas of the particle swarm optimization techniques. To disclose the impacts of the number of agents, their communication radii, and the noise level on the performance of the algorithm, intensive Monte Carlo simulation studies are performed, with a particular attention to relatively small groups. Comparative analysis of two opposite strategies of the robots’ initial placement on the perimeter of the zone of search is also performed. The first of them comes to disembarkment of the robots in a tight cluster at the start of the mission, the second one consists in their uniform distribution over the perimeter.","","979-8-3315-1830-1","10.1109/ICRAE64368.2024.10851693","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10851693","Multiagent robotics;communication constraints;source seeking","Monte Carlo methods;Filtering;Noise;Decentralized control;Attenuation measurement;Particle swarm optimization;Robots;Noise level","","","","24","IEEE","28 Jan 2025","15-17 Nov. 2024","15-17 Nov. 2024","IEEE","IEEE Conferences"
"HAFE: Hierarchical Attention-based Frontier Exploration for Multi-Robot Mapping","X. Yao; Y. Dong; M. Isaac","School of Internet of Things Xi’an Jiaotong Liverpool University, Suzhou, China; School of Internet of Things Xi’an Jiaotong Liverpool University, Suzhou, China; School of Internet of Things Xi’an Jiaotong Liverpool University, Suzhou, China",2025 34th International Conference on Computer Communications and Networks (ICCCN),"29 Aug 2025","2025","","","1","6","Autonomous exploration is a critical application of multi-vehicle systems, where a team of networked robots collaboratively explores an unknown environment. This technique is crucial for applications like search and rescue, fault detection, and mapping. Traditional frontier-based methods struggle with cooperative exploration, while multi-agent deep reinforcement learning (MARL) approaches suffer from inefficient task assignments due to shortsighted decision-making and lack of long-term planning. To address these limitations, we propose HAFE (Hierarchical Attention-based Frontier Exploration), a hierarchical reinforcement learning (HRL) framework that integrates temporal decision modeling into multi-robot exploration. The high-level policy, built on an LSTM-Attention network, captures long-term dependencies in exploration history and dynamically allocates goal frontiers for each robot, ensuring structured and non-redundant coverage. The low-level MADDPG policy then executes navigation and obstacle avoidance. Additionally, we introduce frontier utility embedding into the state representation, enabling robots to prioritize unexplored regions more effectively. Experimental results in Gazebo and ROS demonstrate that HAFE significantly outperforms MADDPG, achieving faster coverage, higher rewards, and fewer collisions by leveraging historical information for more informed goal selection.","2637-9430","979-8-3315-0898-2","10.1109/ICCCN65249.2025.11133753","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11133753","autonomous exploration;multi-agent;reinforcement learning","Navigation;Robot kinematics;Fault detection;Redundancy;Decision making;Deep reinforcement learning;Robustness;Planning;History;Collision avoidance","","1","","24","IEEE","29 Aug 2025","4-7 Aug. 2025","4-7 Aug. 2025","IEEE","IEEE Conferences"
"Multi-Robot Source Location of Scalar Fields by a Novel Swarm Search Mechanism With Collision/Obstacle Avoidance","R. -G. Li; H. -N. Wu","Science and Technology on Aircraft Control Laboratory, School of Automation Science and Electrical Engineering, Beihang University, Beijing, China; Science and Technology on Aircraft Control Laboratory, School of Automation Science and Electrical Engineering, Beihang University, Beijing, China",IEEE Transactions on Intelligent Transportation Systems,"28 Dec 2021","2022","23","1","249","264","This paper focuses on source location for scalar fields through multiple mobile robots with sensors. Combined with field strength measurements and swarm evolution mechanisms, the robots are guided to move toward the source of the field. Upon introducing an adaptive weight strategy, a swarm timely update mechanism and a leading-following behavior into quantum particle swarm optimization (QPSO) algorithm, quantum-leading-following-based optimization (QLFBO) algorithm is proposed to direct the movement of robots for a more efficient search. Meanwhile, a collision/obstacle avoidance strategy is designed for the robot to avert accidents. Considering the minimum problem as an optimization objective, the global convergence is proved for QLFBO algorithm. Besides, we study the computational complexity on QLFBO algorithm and the collision/obstacle avoidance strategy. Thus the performance analysis on the global convergence and computational complexity provides theoretical guarantee and feasibility support for multi-robot source location. Finally, simulation tests show the practicality and effectiveness of the developed scheme.","1558-0016","","10.1109/TITS.2020.3010056","National Key Research and Development Program of China(grant numbers:2018AAA0101400); National Natural Science Foundation for Distinguished Young Scholars of China(grant numbers:61625302); Academic Excellence Foundation of BUAA for PhD Students; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9151253","Source location;mobile robots;quantum-leading-following-based optimization (QLFBO) algorithm;collision/obstacle avoidance strategy;global convergence;computational complexity","Position measurement;Collision avoidance;Robot sensing systems;Mobile robots;Convergence","","32","","44","IEEE","28 Jul 2020","Jan. 2022","","IEEE","IEEE Journals"
"A Local Information Aggregation-Based Multiagent Reinforcement Learning for Robot Swarm Dynamic Task Allocation","Y. Lv; J. Lei; P. Yi","Shanghai Research Institute for Intelligent Autonomous Systems, Tongji University, Shanghai, China; Department of Control Science and Engineering, Tongii University, Shanghai, China; Department of Control Science and Engineering, Tongii University, Shanghai, China",IEEE Transactions on Neural Networks and Learning Systems,"3 Jun 2025","2025","36","6","10437","10449","In this article, we explore how to optimize task allocation for robot swarms in dynamic environments, emphasizing the necessity of formulating robust, flexible, and scalable strategies for robot cooperation. We introduce a novel framework using a decentralized partially observable Markov decision process (Dec-POMDP), specifically designed for distributed robot swarm networks. At the core of our methodology is the local information aggregation multiagent deep deterministic policy gradient (LIA-MADDPG) algorithm, which merges centralized training with distributed execution. During the centralized training phase, a local information aggregation (LIA) module is meticulously designed to gather critical data from neighboring robots, enhancing decision-making efficiency. In the distributed execution phase, a strategy improvement method is proposed to dynamically adjust task allocation based on changing and partially observable environmental conditions. Our empirical evaluations show that the LIA module can be seamlessly integrated into various centralized training and decentralized execution (CTDE)-based multiagent reinforcement learning (MARL) methods, significantly enhancing their performance. Additionally, by comparing LIA-MADDPG with six conventional reinforcement learning algorithms and a heuristic algorithm, we demonstrate its superior scalability, rapid adaptation to environmental changes, and ability to maintain both stability and convergence speed. These results underscore LIA-MADDPG’s outstanding performance and its potential to significantly improve dynamic task allocation in robot swarms through enhanced local collaboration and adaptive strategy execution.","2162-2388","","10.1109/TNNLS.2025.3558282","National Key Research and Development Program of China(grant numbers:2022YFA1004701); National Natural Science Foundation of China(grant numbers:72271187,62373283); Shanghai Municipal Science and Technology Major Project(grant numbers:2021SHZDZX0100); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10974732","Dynamic task allocation;multirobot systems;networked robots;robot swarm","Robots;Robot kinematics;Resource management;Dynamic scheduling;Training;Heuristic algorithms;Real-time systems;Autonomous systems;Scalability;Markov decision processes","","14","","46","IEEE","23 Apr 2025","June 2025","","IEEE","IEEE Journals"
"Persistence Region Monitor With a Pheromone-Inspired Robot Swarm Sensor Network","Y. Wu; M. Li; G. Li; Y. Savaria","School of Automation Science and Electrical Engineering, Beihang University, Beijing, China; College of Big Data and Internet, Shenzhen Technology University, Shenzhen, China; Hangzhou Innovation Institute, Beihang University, Hangzhou, China; Department of Electrical Engineering, Polytechnique Montreal, Montreal, Canada",IEEE Internet of Things Journal,"6 Jul 2022","2022","9","14","12093","12110","In this article, we propose a controller that can coordinate a swarm of robots to cover a region persistently by forming a mobile sensor network. Therefore, the robot swarm can monitor a large area of interest (AOI) over a long time. The performance of the swarm can achieve high flexibility and coverage efficiency with swarm intelligence. This method is inspired by the behavior of large predators, such as lions that use liquid markers containing pheromones to mark their territories and indicate their status. Via interactions based on these clues, the ecosystem can achieve a dynamic balance. The controller inspired by this phenomenon consists of two layers, which are a region divider and a path planner. The region divider evenly splits the area into random shapes according to a pheromone clue and adapts to dynamic changes of the swarm size. Then, the path planner generates a closed patrol path for each robot. Like a random search scheme or an ant pheromone-inspired scheme, the proposed controller can adapt to the dynamic change of swarm size providing high efficiency of region coverage. The effectiveness of this controller is proved by modeling the life cycle of a robot swarm as a finite state machine. It is also verified with simulations and experiments with unmanned ground vehicles (UGVs).","2327-4662","","10.1109/JIOT.2021.3133501","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9642056","Dynamic swarm size;persistence region coverage;swarm robots;virtual pheromone","Robots;Robot sensing systems;Robot kinematics;Monitoring;Shape;Particle swarm optimization;Convergence","","6","","41","IEEE","8 Dec 2021","15 July15, 2022","","IEEE","IEEE Journals"
"Reinforcement Learned Distributed Multi-Robot Navigation With Reciprocal Velocity Obstacle Shaped Rewards","R. Han; S. Chen; S. Wang; Z. Zhang; R. Gao; Q. Hao; J. Pan","Department of Computer Science, The University of Hong Kong, Hong Kong; Department of Computer Science and Engineering, Southern University of Science and Technology, Shenzhen, Guangdong, China; Department of Computer Science and Engineering, Southern University of Science and Technology, Shenzhen, Guangdong, China; Department of Computer Science, The University of Hong Kong, Hong Kong; Department of Computer Science and Engineering, Southern University of Science and Technology, Shenzhen, Guangdong, China; Department of Computer Science and Engineering, Southern University of Science and Technology, Shenzhen, Guangdong, China; Department of Computer Science, The University of Hong Kong, Hong Kong",IEEE Robotics and Automation Letters,"7 Apr 2022","2022","7","3","5896","5903","The challenges to solving the collision avoidance problem lie in adaptively choosing optimal robot velocities in complex scenarios full of interactive obstacles. In this letter, we propose a distributed approach for multi-robot navigation which combines the concept of reciprocal velocity obstacle (RVO) and the scheme of deep reinforcement learning (DRL) to solve the reciprocal collision avoidance problem under limited information. The novelty of this work is threefold: (1) using a set of sequential VO and RVO vectors to represent the interactive environmental states of static and dynamic obstacles, respectively; (2) developing a bidirectional recurrent module based neural network, which maps the states of a varying number of surrounding obstacles to the actions directly; (3) developing a RVO area and expected collision time based reward function to encourage reciprocal collision avoidance behaviors and trade off between collision risk and travel time. The proposed policy is trained through simulated scenarios and updated by the actor-critic based DRL algorithm. We validate the policy in complex environments with various numbers of differential drive robots and obstacles. The experiment results demonstrate that our approach outperforms the state-of-art methods and other learning based approaches in terms of the success rate, travel time, and average speed.","2377-3766","","10.1109/LRA.2022.3161699","Shenzhen Fundamental Research Program(grant numbers:JCYJ20200109141622964); HKSAR RGC GRF(grant numbers:11202119,11207818); Innovation and HKSAR Technology Commission; InnoHK Initiative; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9740403","Collision avoidance;reinforcement learning;multi-robot systems","Collision avoidance;Robots;Robot sensing systems;Robot kinematics;Navigation;Sensors;Feature extraction","","150","","27","IEEE","23 Mar 2022","July 2022","","IEEE","IEEE Journals"
"Urban Search and Rescue with Anti-pheromone Robot Swarm architecture","R. M. García; D. H. de la Iglesia; J. F. de Paz; V. R. Q. Leithardt; G. Villarrubia","ESALAB Research Group, University of Salamanca, Salamanca, Spain; Facultad de Informática, Universidad Pontificia de Salamanca, Salamanca, Spain; ESALAB Research Group, University of Salamanca, Salamanca, Spain; VALORIZA, Research Center for Endogenous Resources Valorization Instituto Politécnico de Portalegre, Portalegre, Portugal; ESALAB Research Group, University of Salamanca, Salamanca, Spain",2021 Telecoms Conference (ConfTELE),"26 May 2021","2021","","","1","6","In case of a natural disaster, the use of human-robot cooperation is a great option, for this reason the research area Robotic Urban Search and Rescue (USAR) is very promising. This paper proposes a new distributed architecture based on a swarm of robots that allows to solve this problem in an efficient way. For this, it is proposed the fusion of 3 different technologies: hector SLAM, anti-pheromone exploration and computer vision. The use of Nvidia's jetbot robot with a LIDAR sensor is proposed and we use ROS as development platform. The architecture has been tested in two different scenarios in the NetLogo simulation environment. This solution seems promising, bringing new advantages with respect to the state of the art, due to the fact that the time to find a potential victim is shorter with the increasing number of robots in the swarm.","","978-1-6654-1588-0","10.1109/ConfTELE50222.2021.9435557","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9435557","USAR;SLAM;anti-pheromone;computer vision;swarm robotics;ROS","Computer vision;Simultaneous localization and mapping;Laser radar;Computational modeling;Computer architecture;Telecommunications;Robots","","8","","12","IEEE","26 May 2021","11-12 Feb. 2021","11-12 Feb. 2021","IEEE","IEEE Conferences"
"Language-Conditioned Offline RL for Multi-Robot Navigation","S. Morad; A. Shankar; J. Blumenkamp; A. Prorok","Department of Computer Science & Technology, University of Cambridge; Department of Computer Science & Technology, University of Cambridge; Department of Computer Science & Technology, University of Cambridge; Department of Computer Science & Technology, University of Cambridge",2025 IEEE International Conference on Robotics and Automation (ICRA),"2 Sep 2025","2025","","","14984","14991","We present a method for synthesizing navigation policies for multi-robot teams that interpret and follow natural language instructions. We condition these policies on embeddings from pretrained Large Language Models (LLMs), and train them via offline reinforcement learning with as little as 20 minutes of randomly-collected real-world data. Experiments on a team of five real robots show that these policies generalize well to unseen commands, indicating an understanding of the LLM latent space. Our method requires no simulators or environment models, and produces low-latency control policies that can be deployed directly to real robots without finetuning. We provide videos of our experiments at https://sites.google.com/view/llm-marl.","","979-8-3315-4139-2","10.1109/ICRA55743.2025.11127288","European Research Council(grant numbers:949940); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11127288","","Navigation;Large language models;Natural languages;Reinforcement learning;Aerospace electronics;Low latency communication;Robots;Videos","","4","","55","IEEE","2 Sep 2025","19-23 May 2025","19-23 May 2025","IEEE","IEEE Conferences"
"A Path Planning Method Based on Collaborative Learning for Multi-Robot with Connectivity and Obstacle Avoidance Constraints","J. Liu; Z. Zheng","College of Computer and Cyber Security, Fujian Normal University, Fuzhou, China; College of Computer and Cyber Security, Fujian Normal University, Fuzhou, China",2022 China Automation Congress (CAC),"13 Mar 2023","2022","","","6770","6775","Cooperative path planning method is one of the research hotspots in the field of multi-agent. In this paper, we study the problem of cooperative path planning, in which the robots under the constraints of communication connectivity and collision avoidance, and choose the destination location independently. It is difficult to find the optimal solution efficiently in sparse solution space by large-scale complex environments. To overcome the problem, in this paper, a novel collaborative learning algorithm, named Park Algorithm (PA) is proposed, which makes full use of exploration experience to improve the exploration efficiency. First, an objective function with three goals including path length, communication and collision is designed. Second, Marker Matrix is designed to evaluate the exploration value of the grids in the map, and each robot uses its own and teammates’ historical experience to update Marker Matrix. Our method can make full use of the exploration experience, realize self-learning and mutual learning between the robots, accelerate the exploration of solution space and avoid falling into local optimal solutions. Finally, the effectiveness and superiority of the proposed method are verified by simulation analysis. The results show that our method has a better performance compared with Genetic Algorithm (GA), Particle Swarm Optimization Algorithm (PSO) and Ant Colony Algorithm (ACO).","2688-0938","978-1-6654-6533-5","10.1109/CAC57257.2022.10054738","National Natural Science Foundation of China; Fujian Normal University; Natural Science Foundation of Fujian Province; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10054738","sparse;collaborative learning;multi-robot;self-learning;mutual learning","Analytical models;Federated learning;Linear programming;Path planning;Space exploration;Sparse matrices;Collision avoidance","","1","","15","IEEE","13 Mar 2023","25-27 Nov. 2022","25-27 Nov. 2022","IEEE","IEEE Conferences"
"Swarm Robotics Collaborative Architecture Based on Embodied Cognition: A Survey From Emergence to Intelligent Decision-Making","W. Xu; Z. Liu; C. -X. Yang; A. Nie; H. -T. Zhang","School of Mechanical Engineering, Hubei University of Technology, Wuhan, Hubei, China; School of Mechanical Engineering, Hubei University of Technology, Wuhan, Hubei, China; School of Mechanical Engineering, Hubei University of Technology, Wuhan, Hubei, China; School of Mechanical Engineering, Hubei University of Technology, Wuhan, Hubei, China; School of Artificial Intelligence and Automation, MOE Engineering Research Center of Autonomous Intelligent Unmanned Systems, and the State Key Laboratory on Intelligent Manufacturing Equipment and Technology, Huazhong University of Science and Technology, Wuhan, China",IEEE Transactions on Automation Science and Engineering,"9 Jul 2026","2026","23","","12294","12317","Against a backdrop of rising automation demands and fundamental scientific challenges, this paper examines the driving factors and technological bottlenecks that constrain the iterative development of swarm-robot systems. To address these challenges, we introduce a group-embodied cognitive-synergy paradigm based on the progressive integration of emergence, planning, and cognition. The proposed architecture outlines a clear evolutionary pathway for distributed automation control: a bottom layer grounded in emergent mechanisms of swarm intelligence arising from local interactions, a middle layer of structured control centered on geometric constraints, and a top layer of collaborative decision-making driven by multi-agent reinforcement learning and game theory. Within this framework, representative technical methods are mapped to typical application scenarios such as search and rescue, flexible logistics, and precision formation control, and the resulting trade-offs among scalability, real-time performance, robustness, and verifiability are systematically summarized. Based on this integrated analysis, we argue that future development should focus on achieving a careful balance among the robustness of bottom-layer emergence mechanisms, the effectiveness of middle-layer structural constraints, and the adaptability of top-layer decision-making. This study aims to provide researchers with a systematic collaborative framework and insights into the future development of intelligent autonomous systems. Note to Practitioners—To ensure the reliability and efficiency of distributed robotic systems, addressing the problem of group integration is essential. Our study, “Swarm Robotics Collaborative Architecture Based on Embodied Cognition: A Survey from Emergence to Intelligent Decision-Making,” examines the integrated pathway from bottom-layer emergent control to top-layer intelligent decision-making. The paper offers systematic architectural reference for practitioners by examining performance trade-offs in typical scenarios, including industrial logistics and search-and-rescue operations. By clarifying how to balance the robustness of underlying interaction mechanisms with the adaptability of high-level decision-making, this work aims to help industry professionals overcome key technical bottlenecks and deploy advanced swarm intelligence technologies in complex real-world engineering environments.","1558-3783","","10.1109/TASE.2026.3708974","Key Research and Development Program of Hubei(grant numbers:2023BEB031); Science and Technology Program of Wuhan, China,(grant numbers:2025071104010370); Taihu Lake Innovation Fund for Future Technology(grant numbers:2024B5); Interdisciplinary Research Program of HUST(grant numbers:5003184086,2024JCYJ033); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11592483","Swarm robotics;emergence;hierarchical control;MARL;game theory","Modeling;Robots;Optimization;Planning;Resource management;Architecture;Computer architecture;Games;Learning (artificial intelligence);Decision making","","","","146","IEEE","1 Jul 2026","2026","","IEEE","IEEE Journals"
"Hierarchical Multi-Robot Pursuit with Deep Reinforcement Learning and Navigation Planning","W. Chen; Y. Zhu","Institute of Automation, Chinese Academy of Sciences University of Chinese Academy of Sciences, Beijing, China; Institute of Automation, Chinese Academy of Sciences University of Chinese Academy of Sciences, Beijing, China",2024 39th Youth Academic Annual Conference of Chinese Association of Automation (YAC),"24 Jul 2024","2024","","","1267","1273","Robotic systems have been used to solve multiple important problems, including pursuit. However, traditional methods in game theory and controlling make it difficult to resolve pursuit problems with high dimensions, continuous spaces, and complex non-convex obstacles. Recently, many researchers have proved that deep reinforcement learning (DRL) has strong feature extraction and decision-making ability when solving decision problems in high-dimensional, continuous space. Thus, applying DRL methods to multi-robot pursuit problems is reasonable. Firstly, in this paper, a multi-robot pursuit simulation environment with complex obstacles in the Unity simulation engine is built. Moreover, a hierarchical method combined with global decision by DRL, local navigation through A* and Navigation Mesh, and collision avoidance by Reciprocal Velocity Obstacles (RVO) is proposed. Finally, the experiment results show the effectiveness of our methods in solving the multi-robot pursuit problem.","2837-8601","979-8-3503-7922-8","10.1109/YAC63405.2024.10598424","National Natural Science Foundation of China; Youth Innovation Promotion Association; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10598424","Deep Reinforcement Learning;Robotic Systems;Pursuit Problem","Training;Navigation;Aerospace electronics;Deep reinforcement learning;Feature extraction;Trajectory;Planning","","2","","29","IEEE","24 Jul 2024","7-9 June 2024","7-9 June 2024","IEEE","IEEE Conferences"
"Gait Planning for Underactuated Bipedal Robot on Discontinuous Ground Based on Particle Swarm Optimization","D. Yao; L. Yang; W. Dong; Y. Yu; X. Wang; Y. Hu","School of Electrical and Automation Engineering, East China Jiaotong University, Nanchang, China; Department of Mechanical and Electrical Engineering, Huazhong Agricultural University, Wuhan, China; School of Electrical and Automation Engineering, East China Jiaotong University, Nanchang, China; School of Electrical and Automation Engineering, East China Jiaotong University, Nanchang, China; School of Electrical and Automation Engineering, East China Jiaotong University, Nanchang, China; School of Economics and Management, East China Jiaotong University, Nanchang, China","2022 IEEE International Conference on Networking, Sensing and Control (ICNSC)","12 Jan 2023","2022","","","1","6","This study develops a gait planning method for underactuated bipedal robot on discontinuous ground based on Particle Swarm Optimization (PSO). First, we introduce an underactuated bipedal walking gait planning method based on Center-of-Mass (CoM) motion state. Second, based on human walking characteristics, we propose a gait planning method to realize underactuated bipedal walking on discontinuous ground. We change the step length and the ideal tracking speed of CoM, in order to eliminate the influence of the ground discontinuity on walking stability. By using PSO, we obtain the ideal tracking speed of CoM for different gait. Finally, the effectiveness of the proposed method is validated with a numerical simulation and a physical experiment. The experimental results show that underactuated bipedal walking can be realized on discontinuous ground by using the proposed method to control robot step length and the ideal tracking speed of CoM.","","978-1-6654-7243-2","10.1109/ICNSC55942.2022.10004103","National Natural Science Foundation of China(grant numbers:52005182); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10004103","Underactuated walking;gait planning;discontinuous ground;variable step length;PSO","Legged locomotion;Solid modeling;Three-dimensional displays;Tracking;Numerical simulation;Robot sensing systems;Stability analysis","","","","18","IEEE","12 Jan 2023","15-18 Dec. 2022","15-18 Dec. 2022","IEEE","IEEE Conferences"
"Adaptive Formation Tracking of Swarm Jumping Robots Using Multiagent Deep Reinforcement Learning","Q. Zhou; G. Li; R. Tang; Y. Xu; Q. Shi","Key Laboratory of Biomimetic Robots and Systems, Beijing Institute of Technology, Beijing, China; Key Laboratory of Biomimetic Robots and Systems, Beijing Institute of Technology, Beijing, China; Key Laboratory of Biomimetic Robots and Systems, Beijing Institute of Technology, Beijing, China; Key Laboratory of Biomimetic Robots and Systems, Beijing Institute of Technology, Beijing, China; Key Laboratory of Biomimetic Robots and Systems, Beijing Institute of Technology, Beijing, China",2023 IEEE International Conference on Unmanned Systems (ICUS),"21 Nov 2023","2023","","","713","718","Swarm jumping robots have attracted increasing attention due to their multimodal motion performance, fault tolerance, and high efficiency. Formation maintenance is the core part of cooperative control of swarm robots, but the mainstream strategies still suffer from poor dynamic adaptability and difficulty in convergence. Here, we propose an adaptive formation tracking system for insect-inspired swarm jumping robots based on Multiagent Deep Reinforcement Learning with Artificial Potential Field (MADRL-APF). It incorporates a hierarchical control architecture for the jumping robots capable of multiple motion modes (jump, turn left, turn right) to autonomously track a moving target. We validated the feasibility of the proposed method in simulated environments with/without obstacles. Multiple jumping robots are able to approach, track and catch a moving target while avoiding obstacles and self-organizing formations during different tasks. Compared with the previous multiagent deep reinforcement learning algorithm, the results show that our method has better convergence and stability. In addition, the method exhibits good scalability and can be scaled to swarm robotic systems with more agents.","2771-7372","979-8-3503-1630-8","10.1109/ICUS58632.2023.10318255","National Natural Science Foundation of China(grant numbers:U2013208); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10318255","Swarm jumping robots;adaptive formation;multiagent deep reinforcement learning;artificial potential field","Deep learning;Target tracking;Adaptive systems;Swarm robotics;Reinforcement learning;Stability analysis;Trajectory","","1","","27","IEEE","21 Nov 2023","13-15 Oct. 2023","13-15 Oct. 2023","IEEE","IEEE Conferences"
"Hierarchical Deep Reinforcement Learning for Multi-robot Cooperation in Partially Observable Environment","Z. Liang; J. Cao; W. Lin; J. Chen; H. Xu","Department of Computing, The Hong Kong Polytechnic University, HongKong, China; Department of Computing, The Hong Kong Polytechnic University, HongKong, China; Department of Computing, The Hong Kong Polytechnic University, HongKong, China; Department of Computing, The Hong Kong Polytechnic University, HongKong, China; Department of Computing, The Hong Kong Polytechnic University, HongKong, China",2021 IEEE Third International Conference on Cognitive Machine Intelligence (CogMI),"13 Apr 2022","2021","","","272","281","Many real-world applications require multi-robot coordination in partially-observable domains such as package delivery, search, and rescue. One typical way to address partial observability is to enable information sharing among robots via dedicated communication protocols. However, designing commu-nication protocols is difficult due to the dynamic environments and complex interactions among robots. Existing broadcasting-based approaches are communication-inefficient, and they usually introduce redundant information that might impair the learning process and action selection. In this paper, we propose a hierar-chical reinforcement learning approach, called COM-cooperative HRL for multi-robot cooperation in a partially observable en-vironment. Specifically, COM-cooperative HRL addresses the above gaps by introducing a partner selector to learn high-level communication strategy using short-term task-execution rewards. Besides, a low-level controller is trained to select actions based on shared information and individual observation. Extensive empirical results show a faster convergence rate and higher team performance over alternative baselines. Our approach can not only improve learning efficiency but also be adaptive to large-scale multi-robot systems.","","978-1-6654-1621-4","10.1109/CogMI52975.2021.00042","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9750312","Multi-robot Cooperation;Reinforcement Learning;Multi-robot Reinforcement Learning","Training;Protocols;Robot kinematics;Information sharing;Reinforcement learning;Multi-robot systems;Task analysis","","5","","36","IEEE","13 Apr 2022","13-15 Dec. 2021","13-15 Dec. 2021","IEEE","IEEE Conferences"
