"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Pabalkar V.; Chanda R.","Pabalkar, Vanishree (57189212514); Chanda, Ruby (57217774078)","57189212514; 57217774078","Swarm Robotics","2025","Lecture Notes in Networks and Systems","1159","","","505","515","0","10.1007/978-981-97-8526-1_40","https://www.scopus.com/pages/publications/105003856734?origin=resultslist","Swarm robotics is the method used in order to have coordination among robots as a system. It is used to implement a desired collective behavior through the coordination between multiple robots and also interaction of robots with environment. Artificial intelligence and AI techniques that are relevant in robotics, like machine learning, deep learning, and evolutionary algorithms, are created to put these robots to tasks that are crucial for enabling robots to learn and adapt in dynamic environments. Robots are used in autonomous construction of huge structures through multiple swarms. This task includes designing algorithms for collaborative planning, coordination, and execution of construction tasks by multiple robots. The process is adopted through collective intelligence by multiple robots, termed as Swarm Intelligence. Swarm Intelligence is defined as the process that involves the problem-solving behavior by way of collective intelligence. The intelligence is exhibited by a group for attaining better results, like bees, fish, ants, birds, etc. The concept pf Swarm Intelligence, can be applied in the field of Agriculture, in order to attain better results. Swarm Intelligence aids in enhancing the quality of crop production, thereby enhancing the efficiency, and increasing productivity. The swarm, which is the group intelligence acts as a catalyst and a responsive system that holds the capacity of resolving the issues and challenges faced in the field of Agriculture. A swarm is made up of numerous homogeneous, straightforward agents that interact with one another and their surroundings on a local level without any central command, allowing for the emergence of novel behavior on a larger scale. In the current study, the attempt has been made to understand the correlation between Swarm Intelligence and Agriculture. The attempt here to understand the role of Swarm Intelligence in having a better crop yield in the field of Agriculture. In this paper, the key aspects of Swarm Intelligence are discussed. Ant Colony Optimization and Particle Swarm Optimization are the significant topics in Swarm Intelligence, which have been discussed in depth. The aim is to address the key aspects of swarm robotics and autonomous construction. In the concluding remarks, it has been mentioned that though Swarm Intelligence has been used and applied in several fields, the current study discusses the role of Swarm Intelligence through swarm robotics. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2025.","Ant Colony Optimization; Autonomous structures; Particle Swarm Optimization; Swarm Intelligence; Swarm robotics","Deep learning; Industrial robots; Intelligent robots; Particle swarm optimization (PSO); Robot learning; Swarm intelligence; Ant colonies; Autonomous constructions; Autonomous structure; Collective intelligences; Colony optimization; Multiple-robots; Particle swarm; Particle swarm optimization; Swarm optimization; Swarm robotics; Ant colony optimization","Conference paper","Final","","Scopus","2-s2.0-105003856734"
"Wu P.; Luo S.; Tian L.; Mao B.; Chen W.","Wu, Peiliang (24538103600); Luo, Shicheng (58138425700); Tian, Liqiang (58138647700); Mao, Bingyi (23393463400); Chen, Wenbai (35217578600)","24538103600; 58138425700; 58138647700; 23393463400; 35217578600","COLLABORATIVE SCHEDULING TASK LEARNING FOR AFFORDANCE-HETEROGENEOUS MULTI-ROBOT SYSTEMS","2023","ICIC Express Letters","17","8","","881","887","2","10.24507/icicel.17.08.881","https://www.scopus.com/pages/publications/85170845614?origin=resultslist","The use of multi-robots to replace humans in multi-person collaborative tasks such as picking up and delivering items can avoid the risk of cross-contamination of staff during the epidemic, while also reduce the heavy workload of staff to some extent. Often, each person performs a different task in multi-person collaborative tasks, such as pushing, lifting and carrying. So the use of multi-robots with different affordances can better replace the work of human. How to rationally assign tasks to robots, plan delivery routes and improve service efficiency is one of the key technologies in delivery robot research. In this paper, based on multi-agent environment with different affordances, CQL multi-agent deep reinforcement learning algorithm of current distributed multi-robot control method is combined to study path planning and cooperative scheduling in multi-robot system and optimize the cooperation of multi-robot. ©2023 ISSN 1881-803X.","Affordance-heterogeneous multi-robot systems; CQL; Multi-agent deep reinforcement learning","","Article","Final","","Scopus","2-s2.0-85170845614"
"Xie H.","Xie, Haoran (60721863200)","60721863200","Collaborative Path Planning and Task Scheduling Optimization of Multi-Robots in Intelligent Warehousing Based on Deep Reinforcement Learning","2026","2026 6th International Conference on Artificial Intelligence and Industrial Technology Applications, AIITA 2026","","","","1371","1376","0","10.1109/AIITA69518.2026.11567038","https://www.scopus.com/pages/publications/105043696751?origin=resultslist","In intelligent warehousing, the separate optimization of multi-robot path planning and task scheduling results in suboptimal performance of the system. This paper aims to propose a hierarchical deep reinforcement learning. The upper layer uses a Transformer task allocation network based on the attention mechanism to achieve the optimal matching between the task and robot through multi-head attention and the Hungarian algorithm. The lower layer builds a distributed path planning module using graph convolutional network and TD3. Each robot combines local grid occupancy maps with neighborhood interaction features to provide continuous control commands, and the centralized architecture for training and the distributed architecture for execution is used for joint optimization. The technique is proven by using 30 robots in a real-world warehouse scenario of 1200 m2. The results show that the average task completion time is 277.66 seconds, the deadlock rate is only 0.1945 times/thousand runs, and the task load variance is reduced to 1.423, verifying the advantages of the proposed framework in terms of collaborative efficiency and system robustness. © 2026 IEEE.","Deep Reinforcement Learning; Intelligent Warehousing; Multi-Robot Collaboration; Path Planning; Task Scheduling","Collaborative robots; Deep learning; Deep reinforcement learning; Distributed computer systems; Industrial robots; Intelligent robots; Multipurpose robots; Multitasking; Network architecture; Network layers; Robot learning; Robot programming; Scheduling algorithms; Warehouses; Intelligent warehousing; Multi-robot collaboration; Multi-robot path planning; Multirobots; Optimisations; Reinforcement learnings; Scheduling optimization; Sub-optimal performance; Tasks scheduling; Upper layer; Motion planning","Conference paper","Final","","Scopus","2-s2.0-105043696751"
"Yano Y.; Shibata K.; Kokshoorn M.; Matsubara T.","Yano, Yoshiki (59727749600); Shibata, Kazuki (57196095607); Kokshoorn, Maarten (59727549500); Matsubara, Takamitsu (10242801500)","59727749600; 57196095607; 59727549500; 10242801500","ICCO: Learning an Instruction-conditioned Coordinator for Language-guided Task-aligned Multi-robot Control","2025","IEEE International Conference on Intelligent Robots and Systems ","","","","18700","18707","1","10.1109/IROS60139.2025.11247312","https://www.scopus.com/pages/publications/105029953876?origin=resultslist","Recent advances in Large Language Models (LLMs) have permitted the development of language-guided multi-robot systems, which allow robots to execute tasks based on natural language instructions. However, achieving effective coordination in distributed multi-agent environments remains challenging due to (1) misalignment between instructions and task requirements and (2) inconsistency in robot behaviors when they independently interpret ambiguous instructions. To address these challenges, we propose Instruction-Conditioned Coordinator (ICCO), a Multi-Agent Reinforcement Learning (MARL) framework designed to enhance coordination in language-guided multi-robot systems. ICCO consists of a Coordinator agent and multiple Local Agents, where the Coordinator generates Task-Aligned and Consistent Instructions (TACI) by integrating language instructions with environmental states, ensuring task alignment and behavioral consistency. The Coordinator and Local Agents are jointly trained to optimize a reward function that balances task efficiency and instruction following. A Consistency Enhancement Term is added to the learning objective to maximize mutual information between instructions and robot behaviors, further improving coordination. Simulation and real-world experiments validate the effectiveness of ICCO in achieving language-guided task-aligned multi-robot control. The demonstration can be found at https://yanoyoshiki.github.io/ICCO/.  © 2025 IEEE.","","","Conference paper","Final","","Scopus","2-s2.0-105029953876"
"Chen Q.; Wang R.; Lyu M.; Zhang J.","Chen, Qihong (59302810300); Wang, Rui (57199050889); Lyu, Ming (55948963900); Zhang, Jie (55949808200)","59302810300; 57199050889; 55948963900; 55949808200","Transformer-Based Reinforcement Learning for Multi-Robot Autonomous Exploration","2024","Sensors","24","16","5083","","","8","10.3390/s24165083","https://www.scopus.com/pages/publications/85202450582?origin=resultslist","A map of the environment is the basis for the robot’s navigation. Multi-robot collaborative autonomous exploration allows for rapidly constructing maps of unknown environments, essential for application areas such as search and rescue missions. Traditional autonomous exploration methods are inefficient due to the repetitive exploration problem. For this reason, we propose a multi-robot autonomous exploration method based on the Transformer model. Our multi-agent deep reinforcement learning method includes a multi-agent learning method to effectively improve exploration efficiency. We conducted experiments comparing our proposed method with existing methods in a simulation environment, and the experimental results showed that our proposed method had a good performance and a specific generalization ability. © 2024 by the authors.","artificial neural network; deep reinforcement learning; robot exploration","Adversarial machine learning; Chatbots; Reinforcement learning; Application area; Autonomous exploration; Autonomous exploration methods; Multirobots; Neural-networks; Reinforcement learnings; Robot exploration; Search and rescue; Search missions; Unknown environments; animal experiment; article; artificial neural network; deep reinforcement learning; learning; nonhuman; simulation; Deep reinforcement learning","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85202450582"
"Yao S.; Chen G.; Pan L.; Ma J.; Ji J.; Chen X.","Yao, Shunyi (57218702605); Chen, Guangda (57195479371); Pan, Lifan (57218703546); Ma, Jun (55210593200); Ji, Jianmin (34869653800); Chen, Xiaoping (36536786600)","57218702605; 57195479371; 57218703546; 55210593200; 34869653800; 36536786600","Multi-Robot Collision Avoidance with Map-based Deep Reinforcement Learning","2020","Proceedings - International Conference on Tools with Artificial Intelligence, ICTAI","2020-November","","9288300","532","539","14","10.1109/ICTAI50040.2020.00088","https://www.scopus.com/pages/publications/85098758281?origin=resultslist","Multi-robot collision avoidance in a communication-free environment is one of the key issues for mobile robotics and autonomous driving. In this paper, we propose a map-based deep reinforcement learning (DRL) approach for collision avoidance of multiple robots, where robots do not communicate with each other and only sense other robots' positions and the obstacles around them. We use the egocentric grid map of a robot to represent the environmental information around it, which can be easily generated by using multiple sensors or sensor fusion. The learned policy generated from the DRL model directly maps 3 frames of egocentric grid maps and the robot's relative local goal positions into low-level robot control commands. We first train a convolutional neural network for the navigation policy in a simulator of multiple mobile robots using proximal policy optimization (PPO). Then we deploy the trained model to real robots to perform collision avoidance in their navigation. We evaluate the approach with various scenarios both in the simulator and on three differential-drive mobile robots in the real world. Both qualitative and quantitative experiments show that our approach is efficient with a high success rate. The demonstration video can be found at https://youtu.be/jcLKlEXuFuk. © 2020 IEEE.","egocentric grid map; multi-robots collision avoidance; reinforcement learning","Collision avoidance; Convolutional neural networks; Deep learning; Industrial robots; Mobile robots; Multipurpose robots; Collisions avoidance; Egocentric grid map; Grid map; Key Issues; Mobile autonomous; Mobile robotic; Multi-robot collision avoidance; Multirobots; Reinforcement learnings; Robot collisions; Reinforcement learning","Conference paper","Final","","Scopus","2-s2.0-85098758281"
"Lyu C.; Dong C.; Xiong Q.; Chen Y.; Weng Q.; Chen Z.","Lyu, Chenxi (57854597300); Dong, Chen (56225110000); Xiong, Qiancheng (57445607300); Chen, Yuzhong (36160903300); Weng, Qian (36139916200); Chen, Zhenyi (55705650500)","57854597300; 56225110000; 57445607300; 36160903300; 36139916200; 55705650500","Pathfinder: Deep Reinforcement Learning-Based Scheduling for Multi-Robot Systems in Smart Factories with Mass Customization","2025","Computers, Materials and Continua","84","2","","3371","3391","4","10.32604/cmc.2025.065153","https://www.scopus.com/pages/publications/105011141340?origin=resultslist","The rapid advancement of Industry 4.0 has revolutionized manufacturing, shifting production from centralized control to decentralized, intelligent systems. Smart factories are now expected to achieve high adaptability and resource efficiency, particularly in mass customization scenarios where production schedules must accommodate dynamic and personalized demands. To address the challenges of dynamic task allocation, uncertainty, and real-time decision-making, this paper proposes Pathfinder, a deep reinforcement learning-based scheduling framework. Pathfinder models scheduling data through three key matrices: execution time (the time required for a job to complete), completion time (the actual time at which a job is finished), and efficiency (the performance of executing a single job). By leveraging neural networks, Pathfinder extracts essential features from these matrices, enabling intelligent decision-making in dynamic production environments. Unlike traditional approaches with fixed scheduling rules, Pathfinder dynamically selects from ten diverse scheduling rules, optimizing decisions based on real-time environmental conditions. To further enhance scheduling efficiency, a specialized reward function is designed to support dynamic task allocation and real-time adjustments. This function helps Pathfinder continuously refine its scheduling strategy, improving machine utilization and minimizing job completion times. Through reinforcement learning, Pathfinder adapts to evolving production demands, ensuring robust performance in real-world applications. Experimental results demonstrate that Pathfinder outperforms traditional scheduling approaches, offering improved coordination and efficiency in smart factories. By integrating deep reinforcement learning, adaptable scheduling strategies, and an innovative reward function, Pathfinder provides an effective solution to the growing challenges of multi-robot job scheduling in mass customization environments. Copyright © 2025 The Authors.","customization; deep reinforcement learning; multi-robot system; production scheduling; Smart factory; task allocation","Computer aided manufacturing; Decision making; Deep neural networks; Deep reinforcement learning; Industry 4.0; Intelligent robots; Job shop scheduling; Multipurpose robots; Robot learning; Scheduling algorithms; Smart manufacturing; Completion time; Customisation; Dynamic task allocation; Mass customization; matrix; Multi-robot systems; Production Scheduling; Reinforcement learnings; Scheduling rules; Task allocation; Production control; Reinforcement learning","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105011141340"
"Manaseswaran S.; Vimal S.J.; Gowri R.; Karthikeyan P.; Kandavel N.; Saraswathi V.","Manaseswaran, S. (60517639300); Vimal, S.J. (60517109300); Gowri, R. (59096508700); Karthikeyan, P. (57934262700); Kandavel, N. (57209394310); Saraswathi, V. (57302169900)","60517639300; 60517109300; 59096508700; 57934262700; 57209394310; 57302169900","Swarm Robotics in Search and Rescue Operations: Challenges, Strategies, and Future Directions","2025","Proceedings - IEEE 10th International Conference on Smart Structures and Systems, ICSSS 2025","","","","","","2","10.1109/ICSSS66939.2025.11346119","https://www.scopus.com/pages/publications/105033159534?origin=resultslist","Swarm robotics has become a radical paradigm of search and rescue (SAR) operations in disaster-prone or risky settings where humans are too risky or impracticable. This review considers the existing strategies, algorithm frameworks, and system level issues behind the implementation of multi-robot swarms to efficiently detect targets and explore the terrain. The synthesis of the discussion incorporates important contributions of behavior-based fuzzylogic control, distributed particle swarm optimization (DPSO), and the latest methods of optimization and learning like hybrid ant-colony models and multi-agent reinforcement learning. Compaired analysis shows that behaviour-based fuzzy systems offer high levels of robustness to sensor uncertainty but are not scalable whereas DPSO offers the ability to coordinate in a decentralized manner and converge quickly but is sensitive to local-optima and limited modelling of communication. Recent reviews highlight the combination of artificial intelligence, machine learning, and adaptive optimization in order to improve autonomy, energy efficiency and resilience. The critical issues in dynamic-environment perception issue, interrobot communication latency, energy-aware planning, and real-world deployment under partial observability remain. Based on these discoveries, this paper outlines the hybrid DPSO-fuzzy architectures, graph-neural-network-related coordination and reinforcement-learning-controlled decision policies as the potential new directions in enhancing adaptability and accuracy in complex SAR conditions. The survey concludes by highlighting the need to have integrated systems that integrate distributed intelligence, powerful sensing with secure communications in order to achieve reliable, scalable swarm-robotic systems that can be used in future defence and emergency-response missions.  © 2025 IEEE.","Autonomous Navigation; Disaster Response Robotics; Distributed Particle Swarm Optimization (DPSO); Formation Control; Fuzzy Logic Control; Multi-Agent Reinforcement Learning (MARL); Multi-Robot Systems; Path Planning; Search and Rescue (SAR); Swarm Robotics","Ant colony optimization; Behavioral research; Complex networks; Coordination reactions; Emergency services; Energy efficiency; Fuzzy inference; Fuzzy neural networks; Fuzzy systems; Industrial robots; Intelligent robots; Large scale systems; Learning algorithms; Learning systems; Multi agent systems; Multipurpose robots; Navigation; Network security; Observability; Power management; Reinforcement learning; Robot learning; Swarm intelligence; Autonomous navigation; Disaster response robotic; Disaster-response; Distributed particle swarm optimization; Distributed particles; Formation control; Fuzzy logic control; Multi-agent reinforcement learning; Multi-robot systems; Particle swarm; Search and rescue; Swarm optimization; Swarm robotics; Particle swarm optimization (PSO)","Conference paper","Final","","Scopus","2-s2.0-105033159534"
"Kumar S.; Sikander A.","Kumar, Sunil (57209548496); Sikander, Afzal (56652135500)","57209548496; 56652135500","A novel hybrid framework for single and multi-robot path planning in a complex industrial environment","2024","Journal of Intelligent Manufacturing","35","2","","587","612","29","10.1007/s10845-022-02056-2","https://www.scopus.com/pages/publications/85144100142?origin=resultslist","Optimum path planning is a fundamental necessity for the successful functioning of a mobile robot in industrial applications. This research work investigates the application of the artificial bee colony (ABC) approach, probabilistic roadmap (PRM) method, and evolutionary programming (EP) algorithm to tackle the issue of single and multi-robot path planning in partially known or unknown industrial complex environments. Conventional techniques depend on external factors such as delay of information from one bee's stage to another for selecting neighbour food points. Due to this, its efficiency is comparatively low and might result in longer runtimes. To address these challenges, a novel hybrid framework based on ABC-PRM-EP has been introduced. Firstly, a suboptimal initial feasible path is attained by a new framework (ABC-PRM) within the mobile robot sensor detection range. Then, EP performs refinement of that attained suboptimal path to provide a short and optimum path. Also, a multi-robot collaboration strategy has been introduced based on the concept of hold-up. A number of comparative studies have been conducted in three different test scenarios with different complexity to validate the proposed framework efficiency and performance. Different performance indices such as path length (m), smoothness (rad), collision safety value, success rate, processing time (s), and convergence speed have been measured to validate the effectiveness of the proposed framework. The comparative analysis obtained from these test scenarios indicates that the proposed framework outperforms conventional ABC, ABC-EP and HPSO-GWO-EA, while performing path planning. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Artificial bee colony; Evolutionary programming; Mobile robot; Multi-robot path planning; Path planning; Probabilistic roadmap approach","Efficiency; Evolutionary algorithms; Industrial research; Industrial robots; Mobile robots; Multipurpose robots; Optimization; Robot programming; Artificial bee colony; Artificial bees; Hybrid framework; Multi-robot path planning; Optimum paths; Probabilistic roadmap approach; Probabilistics; Roadmap; Single-robots; Test scenario; Motion planning","Article","Final","","Scopus","2-s2.0-85144100142"
"Wang L.; Shu L.; Zhou H.","Wang, Linghao (57972491200); Shu, Liang (36827809500); Zhou, Hao (58126733900)","57972491200; 36827809500; 58126733900","Multi-Robot Collaborative Flexible Manufacturing and Digital Twin System Design of Circuit Breakers","2023","Applied Sciences (Switzerland)","13","4","2721","","","11","10.3390/app13042721","https://www.scopus.com/pages/publications/85149311510?origin=resultslist","Circuit breakers (CBs) are mainly designed to interrupt current flow when faults are detected and have been widely used in industrial applications. The existing CBs manufacturing method is semi-automatic and requires a lot of labor. To realize flexible manufacturing, a multi-robot cooperative CBs flexible manufacturing system (CBFMS) is presented in this study. Aiming at the efficiency of the multi-robot cooperative CBFMS key units, a two-arm cooperation robot approach is proposed. The reinforcement learning algorithm is developed to optimize the manufacturing trajectory of the two-arm cooperation robot. To build and optimize the multi-robot cooperative CBFMS, a digital twin (DT) system describing all physical properties of the physical manufacturing plant is constructed for simulation. In the developed DT system, a kinematic control model of the collaboration robot is established. A real-time display of the robot’s trajectory, manufacturing status, and process manufacturing is provided by the data interaction with the physical cell flow between the units. Following this design, a synchronous mapping between the flexible manufacturing DT system of the CBs and the physical workshop is realized, which enables real-time monitoring and management of the physical production line. The experiments’ results show that the manufacturing efficiency, compared with traditional CBs production, is improved by 22%. Moreover, the multi-robot cooperative CBFMS can make process changes according to the production requirements, which can improve the stability of production. © 2023 by the authors.","circuit breaker (CB); deep reinforcement learning; digital twin (DT) system; motion control; multi-robot collaboration","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85149311510"
"Zhong W.; Xie B.; Li Y.; Cascone L.; Lu Y.; He S.","Zhong, Wenjian (57224483524); Xie, Bangquan (57324088900); Li, Yanzhou (57202392026); Cascone, Lucia (57216831866); Lu, Yongkang (57208209059); He, Shenghuang (57200646549)","57224483524; 57324088900; 57202392026; 57216831866; 57208209059; 57200646549","Distributed Deep Reinforcement Learning for Ackermann Multi-Robot Formation: A Weighted Multi-Objective Optimization","2025","IEEE Transactions on Consumer Electronics","71","4","","11588","11600","1","10.1109/TCE.2025.3603259","https://www.scopus.com/pages/publications/105014337003?origin=resultslist","The integration of Internet of Things (IoT) with the multi-robot formation problem has been successfully applied in autonomous vehicles, autonomous aerial vehicles (AAVs), and industrial robotics, enhancing robot collaboration in complex tasks and increasing their autonomy when interacting with uncertain environments. However, extending formation strategies to Ackermann-steering robots remains challenging due to the non-holonomic motion constraints inherent in their kinematics. To address this, we propose the Ackermann Multi-Objective Deep Reinforcement Learning (AM-DRL) framework, a distributed deep reinforcement learning (DDRL) approach specifically tailored for Ackermann-type dynamics. First, we design a novel reward function that incorporates projection, distance, alignment, curvature, and deceleration terms, allowing more effective policy learning under real-world driving constraints. Second, we introduce a dynamic weighted parameter-sharing mechanism that prioritizes agent contributions during model updates based on individual performance, thus accelerating convergence and reducing the risk of local optima. Third, we formulate multi-objective policy optimization (MOPO) using distinct actor-critic networks to enhance policy differentiation across heterogeneous agents. Experimental results show that, compared to baseline algorithms without weighted parameter sharing, the proposed method reduces the average distance error by 16.65% and improves formation integrity by 35.14%, demonstrating superior convergence, trajectory smoothness, and robustness. © 1975-2011 IEEE.","Ackermann model; distributed reinforcement learning; formation control; mobile robot navigation; Multi-robot systems; reward function","Antennas; Deep learning; Deep reinforcement learning; Industrial robots; Internet of things; Mobile robots; Multiobjective optimization; Multipurpose robots; Robot learning; Unmanned aerial vehicles (UAV); Ackermann model; Distributed reinforcement learning; Formation control; Mobile Robot Navigation; Multi objective; Multi-robot systems; Multirobot formations; Parameter sharing; Reinforcement learnings; Reward function; Reinforcement learning","Article","Final","","Scopus","2-s2.0-105014337003"
"He S.; Dai S.-L.; Yuan C.; Shi H.","He, Shude (57195426681); Dai, Shi-Lu (36877968100); Yuan, Chengzhi (56178689800); Shi, Haotian (57219132984)","57195426681; 36877968100; 56178689800; 57219132984","Editorial: Advancements in neural learning control for enhanced multi-robot coordination","2025","Frontiers in Robotics and AI","12","","1731356","","","0","10.3389/frobt.2025.1731356","https://www.scopus.com/pages/publications/105024013624?origin=resultslist","[No abstract available]","adaptive control; autonomous vehicles; dynamic learning; learning control; multi robotics; neural network control; reinforcement learning; robotics","","Editorial","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105024013624"
"Agrawal A.; Hariharan S.; Bedi A.S.; Manocha D.","Agrawal, Aakriti (57207993332); Hariharan, Senthil (57215446775); Bedi, Amrit Singh (57147073300); Manocha, Dinesh (35452853100)","57207993332; 57215446775; 57147073300; 35452853100","DC-MRTA: Decentralized Multi-Robot Task Allocation and Navigation in Complex Environments","2022","IEEE International Conference on Intelligent Robots and Systems","2022-October","","","11711","11718","21","10.1109/IROS47612.2022.9981353","https://www.scopus.com/pages/publications/85146363359?origin=resultslist","We present a novel reinforcement learning (RL) based task allocation and decentralized navigation algorithm for mobile robots in warehouse environments. Our approach is designed for scenarios in which multiple robots are used to perform various pick up and delivery tasks. We consider the problem of joint decentralized task allocation and navigation and present a two level approach to solve it. At the higher level, we solve the task allocation by formulating it in terms of Markov Decision Processes and choosing the appropriate rewards to minimize the Total Travel Delay (TTD). At the lower level, we use a decentralized navigation scheme based on ORCA that enables each robot to perform these tasks in an independent manner, and avoid collisions with other robots and dynamic obstacles. We combine these lower and upper levels by defining rewards for the higher level as the feedback from the lower level navigation algorithm. We perform extensive evaluation in complex warehouse layouts with large number of agents and highlight the benefits over state-of-the-art algorithms based on myopic pickup distance minimization and regret-based task selection. We observe improvement up to 14% in terms of task completion time and up-to 40% improvement in terms of computing collision-free trajectories for the robots. © 2022 IEEE.","","Air navigation; Automatic guided vehicles; Industrial robots; Markov processes; Mobile robots; Pickups; Reinforcement learning; Complex environments; Decentralised; Decentralized navigation; Delivery task; Multi-robot task allocation; Multiple-robots; Navigation algorithms; Pickup and delivery; Reinforcement learnings; Task allocation; Warehouses","Conference paper","Final","","Scopus","2-s2.0-85146363359"
"Huang J.; Mo Z.; Zhang Z.; Chen Y.","Huang, Jie (56326298100); Mo, Zhibin (57313113100); Zhang, Zhenyi (57201427541); Chen, Yutao (57203833448)","56326298100; 57313113100; 57201427541; 57203833448","Behavioral control task supervisor with memory based on reinforcement learning for human—multi-robot coordination systems; [面向人—多机器人协同系统的带记忆强化学习行为控制任务管理器]","2022","Frontiers of Information Technology and Electronic Engineering","23","8","","1174","1188","11","10.1631/FITEE.2100280","https://www.scopus.com/pages/publications/85137033414?origin=resultslist","In this study, a novel reinforcement learning task supervisor (RLTS) with memory in a behavioral control framework is proposed for human—multi-robot coordination systems (HMRCSs). Existing HMRCSs suffer from high decision-making time cost and large task tracking errors caused by repeated human intervention, which restricts the autonomy of multi-robot systems (MRSs). Moreover, existing task supervisors in the null-space-based behavioral control (NSBC) framework need to formulate many priority-switching rules manually, which makes it difficult to realize an optimal behavioral priority adjustment strategy in the case of multiple robots and multiple tasks. The proposed RLTS with memory provides a detailed integration of the deep Q-network (DQN) and long short-term memory (LSTM) knowledge base within the NSBC framework, to achieve an optimal behavioral priority adjustment strategy in the presence of task conflict and to reduce the frequency of human intervention. Specifically, the proposed RLTS with memory begins by memorizing human intervention history when the robot systems are not confident in emergencies, and then reloads the history information when encountering the same situation that has been tackled by humans previously. Simulation results demonstrate the effectiveness of the proposed RLTS. Finally, an experiment using a group of mobile robots subject to external noise and disturbances validates the effectiveness of the proposed RLTS with memory in uncertain real-world environments. © 2022, Zhejiang University Press.","Human-multi-robot coordination systems; Knowledge base; Null-space-based behavioral control; Reinforcement learning; Task supervisor; TP18","Decision making; Industrial robots; Knowledge based systems; Long short-term memory; Multipurpose robots; Supervisory personnel; Control framework; Coordination systems; Human-multi-robot coordination system; Knowledge base; Learning tasks; Multi-robot coordination; Null-space-based behavioral control; Reinforcement learnings; Task supervisor; Tp18; Reinforcement learning","Article","Final","","Scopus","2-s2.0-85137033414"
"Saranya Devi R.; Yasaswini M.; Rahamath Nisha A.; Divya Ranjani R.; Suresh Kumar A.","Saranya Devi, R. (60244278100); Yasaswini, Mandiga (58726753000); Rahamath Nisha, A. (59210010200); Divya Ranjani, R. (57194780113); Suresh Kumar, A. (59124555900)","60244278100; 58726753000; 59210010200; 57194780113; 59124555900","Collective Intelligence and Swarm Robotics: Decentralized Strategies for Adaptive and Resilient Motion Control","2025","Methodologies and Applications of Intelligent Motion Control Systems","","","","51","74","0","10.4018/979-8-3693-3637-3.ch003","https://www.scopus.com/pages/publications/105025070937?origin=resultslist","This chapter discusses the combination of collective intelligence and swarm robotics as decentralised methods of motion control. The research is based on an example of biological systems that exhibit strong, scalable, and adaptive global dynamics by the simple rules or programmes applied locally. Reinforcement learning and evolutionary optimization have been demonstrated to be more efficient, resilient, and have better energy performance through simulations, physical verification, and statistical analysis. There is a proposed motion control design that is layered and has a balance between autonomy and hybrid oversight, energy optimization, and ethical governance. The results leave decentralized swarm robotics as the paradigm of resilient, adaptive and ethical motion control in a variety of applications. © 2026, IGI Global Scientific Publishing. All rights reserved.","","Adaptive control systems; Biological systems; Decentralized control; Decentralized systems; Ethical technology; Intelligent robots; Optimization; Swarm intelligence; Collective intelligences; Control design; Decentralised; Energy performance; Evolutionary optimizations; Global dynamics; Learning optimizations; Reinforcement learnings; Simple++; Swarm robotics; Motion control","Book chapter","Final","","Scopus","2-s2.0-105025070937"
"Hsieh P.-H.; Wong K.-Y.","Hsieh, Ping-Heng (59514073800); Wong, Kai-Yi (57700075200)","59514073800; 57700075200","Multi-Robot Active Mapping based on Inverse Reinforcement Learning in Unknown Environments","2024","2024 International Automatic Control Conference, CACS 2024","","","","","","0","10.1109/CACS63404.2024.10773177","https://www.scopus.com/pages/publications/85214990210?origin=resultslist","Multi-robot active mapping aims to efficiently explore and construct complete maps of unknown environments using multiple robots. The key to solving this problem lies in frontier-based exploration, which enables more efficient robot movements. Recent approaches have employed Reinforcement Learning (RL) to optimize robot policies for efficient exploration. However, designing a suitable reward function for R L in this context is challenging because it requires balancing multiple objectives, such as rapid exploration, efficient coordination, and complete coverage. To address this challenge, we propose an Inverse Reinforcement Learning (IRL) approach that automatically updates the underlying reward function from expert demonstrations of effective multi-robot mapping. We use the performance of NeuralCoMapping on specific maps as expert demonstrations and take NeuralCoMapping as the RL policy. By learning the potential reward function optimized by these expert demonstrations, we aim to discover a more comprehensive and balanced reward function that captures the key features of efficient multi-robot mapping. The proposed IRL-based approach not only offers a promising direction for automatically learning effective reward functions and policies in complex multi-robot systems but also instills optimism for the future of robotics, reducing the need for manual reward engineering.  © 2024 IEEE.","","Active learning; Machine design; Mapping; Microrobots; Multipurpose robots; Reinforcement learning; Robot learning; Frontier-based exploration; Inverse reinforcement learning; Multiple-objectives; Multiple-robots; Multirobots; Reinforcement learnings; Reward function; Robot mapping; Robot movements; Unknown environments; Adversarial machine learning","Conference paper","Final","","Scopus","2-s2.0-85214990210"
